console,game,year,publisher,players,genre,rating
Amiga,Monkey Island 2: LeChuck's Revenge,1991,Lucasfilm Games,1,Adventure,9.8
Amiga,The Secret of Monkey Island,1990,Lucasfilm Games,1,Adventure,9.7
Amiga,Turrican II: The Final Fight,1991,Factor 5,1,Action-Platformer,9.6
Amiga,Sensible World of Soccer,1994,Renegade,1-2,Sports,9.6
Amiga,Another World,1991,Delphine Software,1,Cinematic Platformer,9.5
Amiga,X-COM: UFO Defense,1994,MicroProse,1,Strategy,9.5
Amiga,Speedball 2: Brutal Deluxe,1990,Image Works,1-2,Sports,9.4
Amiga,Lemmings,1991,Psygnosis,1-2,Puzzle,9.4
Amiga,Dungeon Master,1987,Mirrorsoft,1,Dungeon Crawler,9.3
Amiga,Turrican,1990,Rainbow Arts,1,Action-Platformer,9.3
Amiga,Cannon Fodder,1993,Virgin Interactive,1-2,Strategy,9.3
Amiga,Worms,1995,Ocean Software,1-4,Strategy,9.2
Amiga,The Chaos Engine,1993,Renegade,1-2,Action,9.1
Amiga,Lotus Turbo Challenge 2,1991,Gremlin Graphics,1-2,Racing,9.0
Amiga,North & South,1991,Infogrames,1-2,Strategy,8.9
Amiga,Alien Breed 2: The Horror Continues,1993,Team17,1-2,Run-and-Gun,8.9
Amiga,R-Type,1988,Electric Dreams,1,Shoot 'em up,8.8
Amiga,Shadow of the Beast,1989,Psygnosis,1,Action-Platformer,8.8
Amiga,Walker,1993,Psygnosis,1,Shoot 'em up,8.8
Amiga,Zool,1992,Gremlin Graphics,1,Platformer,8.6
Arcade,Street Fighter II Turbo: Hyper Fighting,1992,Capcom,1-2,Fighting,9.9
Arcade,Metal Slug 3,2000,SNK,1-2,Run-and-Gun,9.9
Arcade,Street Fighter II: The World Warrior,1991,Capcom,1-2,Fighting,9.8
Arcade,Dungeons & Dragons: Shadow over Mystara,1996,Capcom,1-4,Beat 'em up / RPG,9.8
Arcade,The King of Fighters '98,1998,SNK,1-2,Fighting,9.8
Arcade,Metal Slug X,1999,SNK,1-2,Run-and-Gun,9.8
Arcade,Ikaruga,2001,Treasure,1-2,Shoot 'em up,9.8
Arcade,Pac-Man,1980,Namco,1-2,Maze,9.7
Arcade,DoDonPachi,1997,Cave,1-2,Shoot 'em up,9.7
Arcade,Radiant Silvergun,1998,Treasure,1-2,Shoot 'em up,9.7
Arcade,Garou: Mark of the Wolves,1999,SNK,1-2,Fighting,9.7
Arcade,Alien vs. Predator,1994,Capcom,1-3,Beat 'em up,9.6
Arcade,Ms. Pac-Man,1982,Midway,1-2,Maze,9.5
Arcade,Contra,1987,Konami,1-2,Run-and-Gun,9.5
Arcade,Gradius II,1988,Konami,1-2,Shoot 'em up,9.5
Arcade,Final Fight,1989,Capcom,1-2,Beat 'em up,9.5
Arcade,Teenage Mutant Ninja Turtles,1989,Konami,1-4,Beat 'em up,9.5
Arcade,Mushihimesama,2004,Cave,1-2,Shoot 'em up,9.5
Arcade,Galaga,1981,Namco,1-2,Shoot 'em up,9.4
Arcade,Donkey Kong,1981,Nintendo,1-2,Platformer,9.4
Arcade,The Simpsons,1991,Konami,1-4,Beat 'em up,9.4
Arcade,X-Men,1992,Konami,1-6,Beat 'em up,9.4
Arcade,Mortal Kombat II,1993,Midway,1-2,Fighting,9.4
Arcade,Cadillacs and Dinosaurs,1993,Capcom,1-3,Beat 'em up,9.4
Arcade,Dungeons & Dragons: Tower of Doom,1993,Capcom,1-4,Beat 'em up / RPG,9.4
Arcade,Daytona USA,1994,Sega,1-8,Racing,9.4
Arcade,Espgaluda,2003,Cave,1-2,Shoot 'em up,9.4
Arcade,Gradius,1985,Konami,1-2,Shoot 'em up,9.3
Arcade,Out Run,1986,Sega,1-2,Racing,9.3
Arcade,R-Type,1987,Irem,1-2,Shoot 'em up,9.3
Arcade,Virtua Fighter 2,1994,Sega,1-2,Fighting,9.3
Arcade,Robotron: 2084,1982,Williams,1-2,Arcade,9.2
Arcade,The Punisher,1993,Capcom,1-2,Beat 'em up,9.2
Arcade,Sega Rally Championship,1994,Sega,1-2,Racing,9.2
Arcade,Time Crisis,1995,Namco,1-2,Light-gun Shooter,9.2
Arcade,Star Wars,1983,Atari,1-2,Rail Shooter,9.1
Arcade,Raiden,1990,Seibu Kaihatsu,1-2,Shoot 'em up,9.1
Arcade,Asteroids,1979,Atari,1-2,Shoot 'em up,9.0
Arcade,Frogger,1981,Konami,1-2,Arcade,9.0
Arcade,Defender,1981,Williams,1-2,Shoot 'em up,9.0
Arcade,Dig Dug,1982,Namco,1-2,Arcade,9.0
Arcade,Shinobi,1987,Sega,1-2,Action,9.0
Arcade,Golden Axe,1989,Sega,1-2,Beat 'em up,9.0
Arcade,Virtua Cop 2,1995,Sega,1-2,Light-gun Shooter,9.0
Arcade,Crazy Taxi,1999,Sega,1,Racing,9.0
Arcade,F-Zero AX,2004,Nintendo,1-4,Racing,9.0
Arcade,Joust,1982,Williams,1-2,Arcade,8.9
Arcade,Streets of Rage 2,1992,Sega,1-2,Beat 'em up,8.9
Arcade,Galaxian,1979,Namco,1-2,Shoot 'em up,8.8
Arcade,1942,1984,Capcom,1-2,Shoot 'em up,8.8
Atari 2600,Adventure,1979,Atari,1,Action-Adventure,9.0
Atari 2600,Yars' Revenge,1981,Atari,1,Shoot 'em up,8.8
Atari 2600,Pitfall!,1982,Activision,1,Platformer,8.8
Atari 2600,H.E.R.O.,1984,Activision,1,Action,8.8
Atari 2600,Hero,1984,Activision,1,Action,8.8
Atari 2600,River Raid,1982,Activision,1,Shoot 'em up,8.7
Atari 2600,Kaboom!,1981,Activision,1,Action,8.6
Atari 2600,Asteroids,1981,Atari,1-2,Arcade,8.6
Atari 2600,Centipede,1982,Atari,1-2,Arcade,8.5
Atari 2600,Enduro,1983,Activision,1,Racing,8.5
Atari 2600,Missile Command,1981,Atari,1-2,Arcade,8.4
Atari 2600,Defender,1982,Atari,1-2,Shoot 'em up,8.4
Atari 2600,Solaris,1986,Atari,1,Shoot 'em up,8.4
Atari 2600,Frogger,1982,Parker Brothers,1,Arcade,8.3
Atari 2600,Q*bert,1983,Parker Brothers,1,Arcade,8.2
Atari 2600,Seaquest,1983,Activision,1,Action,8.1
Atari 2600,River Raid II,1988,Activision,1,Shoot 'em up,8.1
Atari 2600,Beamrider,1983,Activision,1,Shoot 'em up,8.0
Atari 2600,Robot Tank,1983,Activision,1,Action,8.0
Atari 2600,Thrust,1987,HES,1,Action,7.9
Atari 5200,Star Raiders,1982,Atari,1,Action,8.7
Atari 5200,Ms. Pac-Man,1983,Atari,1-2,Arcade,8.4
Atari 5200,Robotron: 2084,1983,Atari,1-2,Arcade,8.4
Atari 5200,Defender,1982,Atari,1-2,Shoot 'em up,8.2
Atari 5200,Q*bert,1983,Parker Brothers,1,Arcade,8.2
Atari 5200,River Raid,1983,Activision,1,Shoot 'em up,8.2
Atari 5200,Centipede,1982,Atari,1-2,Arcade,8.1
Atari 5200,Joust,1983,Atari,1-2,Arcade,8.1
Atari 5200,Pitfall II: Lost Caverns,1984,Activision,1,Platformer,8.1
Atari 5200,Missile Command,1982,Atari,1-2,Arcade,8.0
Atari 5200,Dig Dug,1983,Atari,1-2,Arcade,8.0
Atari 5200,Space Invaders,1982,Atari,1-2,Shoot 'em up,7.9
Atari 5200,Berzerk,1982,Atari,1-2,Arcade,7.9
Atari 5200,Galaxian,1982,Atari,1-2,Shoot 'em up,7.8
Atari 5200,Super Breakout,1982,Atari,1-2,Arcade,7.8
Atari 5200,Pole Position,1983,Atari,1,Racing,7.8
Atari 5200,Mario Bros.,1983,Atari,1-2,Arcade,7.8
Atari 5200,Gremlins,1984,Atari,1-2,Action,7.8
Atari 5200,Moon Patrol,1983,Atari,1,Arcade,7.7
Atari 5200,Pac-Man,1982,Atari,1-2,Arcade,7.5
Atari 7800,Food Fight,1982,Atari,1,Action,8.5
Atari 7800,Robotron: 2084,1987,Atari,1-2,Arcade,8.5
Atari 7800,Ms. Pac-Man,1984,Atari,1-2,Arcade,8.4
Atari 7800,Asteroids,1986,Atari,1-2,Arcade,8.4
Atari 7800,Galaga,1987,Atari,1-2,Shoot 'em up,8.3
Atari 7800,Joust,1987,Atari,1-2,Arcade,8.2
Atari 7800,Ballblazer,1984,Atari,1-2,Sports,8.1
Atari 7800,Centipede,1987,Atari,1-2,Arcade,8.0
Atari 7800,Xevious,1988,Atari,1,Shoot 'em up,8.0
Atari 7800,Tower Toppler,1988,Atari,1,Platformer,8.0
Atari 7800,Impossible Mission,1988,Atari,1,Action,8.0
Atari 7800,Kung-Fu Master,1989,Atari,1,Beat 'em up,8.0
Atari 7800,Desert Falcon,1987,Atari,1,Shoot 'em up,7.9
Atari 7800,Commando,1989,Atari,1,Run-and-Gun,7.9
Atari 7800,Mario Bros.,1988,Atari,1-2,Arcade,7.8
Atari 7800,Pole Position II,1988,Atari,1,Racing,7.8
Atari 7800,Midnight Mutants,1990,Atari,1,Action-Adventure,7.8
Atari 7800,Rampage,1989,Atari,1-2,Action,7.7
Atari 7800,Scrapyard Dog,1990,Atari,1,Platformer,7.6
Bally Astrocade,Wizard of Wor,1980,Midway,1-2,Arcade,8.5
Bally Astrocade,Gorf,1981,Midway,1-2,Shoot 'em up,8.0
Bally Astrocade,Space Fortress,1978,Bally,1-2,Shoot 'em up,7.8
Bally Astrocade,Gunfight,1977,Bally,1-2,Action,7.7
Bally Astrocade,Galactic Invasion,1979,Bally,1-2,Shoot 'em up,7.7
